barcode	cluster_id	read_id
*	20265	27417
*	20265	27417
*	20265	27417
*	4156	27452
*	4156	27452
*	4156	27452
*	16821	27465
*	20150	27467
*	20150	27467
*	20150	27467
*	19777	27469
*	19777	27469
*	19777	27469
*	19477	27475
*	19477	27475
*	19477	27475
*	20259	27476
*	20259	27476
*	20259	27476
*	3771	27496
*	3771	27496
*	14834	275
*	17813	27502
*	17813	27502
*	17813	27502
*	5735	27522
*	18809	27531
*	18809	27531
*	18809	27531
*	13739	27532
*	13739	27532
*	13739	27532
*	18786	27578
*	18786	27578
*	18786	27578
*	20260	27590
*	20260	27590
*	20260	27590
*	19540	27681
*	19540	27681
*	19540	27681
*	14008	27691
*	17335	277
*	17335	277
*	17335	277
*	19198	27792
*	19198	27792
*	19198	27792
*	15158	278
*	18463	27809
*	18463	27809
*	18463	27809
*	19890	27819
*	19890	27819
*	19890	27819
*	17752	279
*	17752	279
*	17752	279
*	17874	27902
*	17874	27902
*	17874	27902
*	10618	27951
*	1563	28024
*	6225	28030
*	10362	28033
*	10362	28033
*	10362	28033
*	14364	28034
*	344	28042
*	344	28042
*	344	28042
*	138	28049
*	138	28049
*	138	28049
*	5132	28062
*	5132	28062
*	8170	28070
*	8170	28070
*	8170	28070
*	521	28135
*	521	28135
*	521	28135
*	18194	28155
*	18194	28155
*	18194	28155
*	14662	28165
*	19553	28174
*	19553	28174
*	19553	28174
*	3912	28178
*	3912	28178
*	19576	28189
*	19576	28189
*	19576	28189
*	19852	28193
*	19852	28193
*	19852	28193
*	3273	28198
*	14415	28202
*	18728	28205
*	18728	28205
*	18728	28205
*	2051	28210
*	19837	2823
*	19837	2823
*	19837	2823
*	15470	28232
*	4053	28232
*	4053	28232
*	14601	28234
*	14601	28234
*	2315	28236
*	20603	28240
*	20603	28240
*	20603	28240
*	18518	28279
*	18518	28279
*	18518	28279
*	16515	28281
*	18831	28305
*	18831	28305
*	18831	28305
*	18536	28336
*	18536	28336
*	18536	28336
*	12196	28341
*	12196	28341
*	14739	28343
*	14739	28343
*	14739	28343
*	2929	28344
*	13094	28357
*	13094	28357
*	15688	28362
*	15688	28362
*	15688	28362
*	18525	2837
*	18525	2837
*	18525	2837
*	8070	2839
*	8070	2839
*	8070	2839
*	3997	28392
*	3997	28392
*	20034	28397
*	20034	28397
*	20034	28397
*	16463	28401
*	19817	28406
*	19817	28406
*	19817	28406
*	19415	28410
*	19415	28410
*	19415	28410
*	17980	28414
*	17980	28414
*	17980	28414
*	19770	28426
*	19770	28426
*	19770	28426
*	18598	28443
*	18598	28443
*	18598	28443
*	18445	28461
*	18445	28461
*	18445	28461
*	19219	28513
*	19397	28513
*	19219	28513
*	19397	28513
*	19219	28513
*	19397	28513
*	20534	28529
*	20534	28529
*	20534	28529
*	20532	2853
*	20532	2853
*	20532	2853
*	19069	28533
*	19069	28533
*	19069	28533
*	7759	28537
*	7759	28537
*	7759	28537
*	20649	28561
*	20649	28561
*	20649	28561
*	3644	28575
*	3644	28575
*	19927	28577
*	19927	28577
*	19927	28577
*	11755	28587
*	11755	28587
*	20580	28593
*	20580	28593
*	20580	28593
*	20624	28595
*	20624	28595
*	20624	28595
*	16545	286
*	16545	286
*	19534	28603
*	19534	28603
*	19534	28603
*	6237	28607
*	3823	28609
*	3823	28609
*	20042	28619
*	20042	28619
*	20042	28619
*	13796	28635
*	13796	28635
*	3633	28637
*	3633	28637
*	20630	28655
*	20630	28655
*	20630	28655
*	16927	28669
*	14563	28693
*	18952	28699
*	18952	28699
*	18952	28699
*	15045	28711
*	13890	28737
*	13890	28737
*	13890	28737
*	3318	28755
*	3318	28755
*	3318	28755
*	2179	28772
*	17890	28772
*	2179	28772
*	17890	28772
*	2179	28772
*	17890	28772
*	19456	28774
*	19456	28774
*	19456	28774
*	6321	28786
*	15284	28786
*	17355	28790
*	17355	28790
*	17355	28790
*	20421	28797
*	20421	28797
*	20421	28797
*	12264	28800
*	12264	28800
*	17013	28805
*	19815	28852
*	19815	28852
*	19815	28852
*	20438	28883
*	20438	28883
*	20438	28883
*	18876	28889
*	18876	28889
*	18876	28889
*	7665	28891
*	7665	28891
*	7665	28891
*	18490	28893
*	18490	28893
*	18490	28893
*	20117	28895
*	20117	28895
*	20117	28895
*	170	28918
*	170	28918
*	170	28918
*	7101	28960
*	7101	28960
*	7101	28960
*	19750	28966
*	19750	28966
*	19750	28966
*	7896	28970
*	7896	28970
*	7896	28970
*	18609	28999
*	18609	28999
*	18609	28999
*	12733	290
*	12733	290
*	12733	290
*	19030	29104
*	19030	29104
*	19030	29104
*	18492	29159
*	18492	29159
*	18492	29159
*	19827	29173
*	19827	29173
*	19827	29173
*	17006	29181
*	19736	29181
*	17006	29181
*	19736	29181
*	17006	29181
*	19736	29181
*	20667	29183
*	20667	29183
*	20667	29183
*	11846	29203
*	11846	29203
*	5822	2928
*	13680	293
*	13680	293
*	13680	293
*	5048	29357
*	5048	29357
*	18308	29371
*	18308	29371
*	18308	29371
*	15243	29381
*	3815	29383
*	3815	29383
*	16579	29406
*	16607	29412
*	16870	29412
*	16607	29412
*	16870	29412
*	16607	29412
*	16870	29412
*	17467	29418
*	17467	29418
*	17467	29418
*	20413	29457
*	20413	29457
*	20413	29457
*	18127	29488
*	18127	29488
*	18127	29488
